resource_id,resource_name,acronym,official_identity,description,homepage_url,data_access_url,research_areas,keywords,data_product_types,data_formats,visualization_types,geographic_coverage,covers_brazil,spatial_resolution,temporal_coverage,temporal_resolution,data_sources,free_download,access_conditions,programmatic_access,access_protocols,authentication_required,access_documentation_url,license,institutional_status,owner_or_manager,academic_uses,limitations,academic_evidence_type,academic_evidence_url,academic_evidence_note,verification_url,last_verified
DR0045,Global Carbon Atlas,Global Carbon Atlas,Plataforma para explorar e visualizar dados de fluxos de carbono,Plataforma de visualização e exploração de fluxos e emissões globais de carbono.,https://globalcarbonatlas.org/,https://globalcarbonatlas.org/,Ciências Ambientais e Ecologia | Clima e Ciências Atmosféricas | Infraestruturas e Ciência de Dados,carbono | emissões | mudanças climáticas,mapas | séries | gráficos | indicadores,CSV | XLS; varia conforme o produto,mapa interativo | gráficos | dashboard,global e nacional,sim,"nacional, regional e grades; varia",histórica ao presente; varia,anual; alguns produtos mensais,inventários | modelos | observações | Global Carbon Project,sim,acesso gratuito; uso/publicação requer crédito ao Global Carbon Atlas e às fontes originais conforme o produto,desconhecido,HTTP download,não,,Global Carbon Atlas data-use terms + condições/créditos das fontes originais por produto,consórcio acadêmico,Global Carbon Project,"Explorar emissões nacionais e globais, orçamentos de carbono e fluxos naturais em ensino, sínteses e comunicação científica.","Produtos têm anos de atualização diferentes; registrar edição, fonte e metodologia em vez de assumir atualização uniforme.",documentação técnica oficial,https://globalcarbonatlas.org/,O Atlas dissemina e visualiza produtos do Global Carbon Project; cada série deve ser citada por sua publicação original.,https://globalcarbonatlas.org/,2026-08-10
DR0046,EDGAR — Emissions Database for Global Atmospheric Research,EDGAR,Base de dados independente de emissões antropogênicas globais,Inventário global espacializado de emissões antropogênicas de gases de efeito estufa e poluentes.,https://edgar.jrc.ec.europa.eu/,https://edgar.jrc.ec.europa.eu/dataset_ghg2025,Ciências Ambientais e Ecologia | Clima e Ciências Atmosféricas | Sensoriamento Remoto e Geoinformação,emissões | carbono | atmosfera | mudanças climáticas,grades de emissões | tabelas nacionais | séries temporais,NetCDF | XLSX | CSV,mapa interativo | gráficos | tabelas,global,sim,"0,1° × 0,1° para grades globais; totais nacionais também disponíveis",1970–2024 na edição GHG 2025,anual | mensal | horária em produtos selecionados,estatísticas de atividade | fatores de emissão | modelos,sim,aberto,parcial,download HTTP de arquivos tabulares e raster,não,,CC BY 4.0 para material da União Europeia salvo indicação contrária; componentes de terceiros mantêm termos/fonte próprios,público internacional,European Commission Joint Research Centre,"Usar séries nacionais e grades globais de emissões por gás e setor em inventários, modelagem e política climática.","A edição GHG 2025 cobre 1970–2024; registrar versão, gás, setor, resolução temporal e grade.",artigo revisado por pares,https://doi.org/10.5194/essd-16-2811-2024,Artigo de dados descreve distribuição espacial de emissões EDGAR v8.0 e usos em escalas nacional e subnacional.,https://edgar.jrc.ec.europa.eu/,2026-08-10
DR0047,Copernicus Data Space Ecosystem,CDSE,Ecossistema aberto de dados e serviços Copernicus,"Serviço de descoberta, acesso e processamento de dados Sentinel e outras missões Copernicus.",https://dataspace.copernicus.eu/,https://browser.dataspace.copernicus.eu/,Sensoriamento Remoto e Geoinformação | Infraestruturas e Ciência de Dados,sensoriamento remoto | vegetação | clima | água | solo,imagens de satélite | mosaicos | produtos processados,SAFE | GeoTIFF | JPEG2000 | NetCDF | formatos variados,mapa interativo | geovisualização | pré-visualização de imagens | processamento em nuvem,global,sim,10 m a quilômetros; depende do sensor e produto,2014 ao presente; varia por missão,dias a semanas; varia por missão,satélites Sentinel | missões contribuintes,sim,serviços/dados públicos gratuitos sem registro em canais selecionados | conta para serviços/capacidades registradas e credenciais de APIs específicas | serviços adicionais podem ter condições próprias,sim,OData | STAC | S3 | openEO | OGC WMS/WMTS/WFS/WCS | REST API,parcial,https://documentation.dataspace.copernicus.eu/APIs.html,Copernicus Data and Information Policy,público internacional,European Commission / ESA e operadores,"Descobrir, baixar e processar imagens Sentinel e outros produtos de observação da Terra para pesquisa e ensino.","Exige conta para vários serviços; missão, nível de processamento, resolução, órbita e data precisam ser registrados.",artigo revisado por pares,https://doi.org/10.1038/s41597-026-06765-8,Descreve o ecossistema Copernicus como infraestrutura pública de dados e processamento em nuvem para observação da Terra.,https://dataspace.copernicus.eu/,2026-08-10
DR0048,Earth System Grid Federation,ESGF,Esforço de código aberto e plataforma distribuída de dados e computação,"Infraestrutura federada para distribuição de modelos climáticos, incluindo CMIP.",https://esgf.github.io/,https://metagrid.esgf-west.org/,Clima e Ciências Atmosféricas | Infraestruturas e Ciência de Dados,clima | mudanças climáticas | modelos do sistema terrestre,simulações | projeções | reanálises selecionadas,NetCDF,busca tabular | gráficos | pré-visualização de metadados,global,sim,varia conforme o modelo,histórico e cenários futuros,subdiária a anual; varia,modelos climáticos e do sistema terrestre,sim,aberto | cadastro em alguns nós,sim,REST API de busca | HTTP/HTTPS download,parcial,https://esgf.github.io/esg-search/ESGF_Search_RESTful_API.html,varia conforme o projeto e dataset,consórcio internacional,ESGF partners / DOE,Descobrir e baixar simulações CMIP e outros dados do sistema terrestre para projeções e estudos climáticos.,"É uma federação de nós; disponibilidade, licença, versão e desempenho variam, e o acesso CMIP está migrando para o MetaGrid.",artigo revisado por pares,https://doi.org/10.1016/j.future.2013.07.002,Artigo de referência descreve ESGF como infraestrutura aberta e federada de acesso a dados geoespaciais e climáticos.,https://esgf.github.io/,2026-08-10
DR0049,International Long Term Ecological Research Network,ILTER,Rede internacional de redes de pesquisa ecológica de longa duração,Rede internacional de sítios e projetos de pesquisa ecológica de longa duração.,https://www.ilter.network/,https://deims.org/,Ciências Ambientais e Ecologia | Biodiversidade e Conservação | Infraestruturas e Ciência de Dados,ecologia | biodiversidade | clima | ecossistemas,metadados | séries ecológicas | informações de sítios,JSON | CSV | Shapefile | GeoPackage | GeoJSON; datasets associados podem variar,mapa interativo | busca tabular | gráficos,global,sim,"sítio, parcela e região; varia",longa duração; varia por sítio,varia por variável e sítio,campo | sensores | laboratório | monitoramento,parcial,conteúdo DEIMS-SDR público e gratuito sem conta; uso não comercial sob termos do serviço; datasets externos associados podem ter condições próprias,sim,REST API | WMS | WFS | CSW | OAI-PMH | HTTP export,não,,DEIMS-SDR CC BY-NC 4.0 para conteúdo/registros do serviço; datasets externos associados podem ter licenças próprias,consórcio acadêmico,ILTER e redes nacionais,"Descobrir sítios e integrar séries de longa duração em estudos de mudança ambiental, ecossistemas e comparações internacionais.","A ILTER não é um repositório único; disponibilidade e licença dependem da rede, do sítio e do repositório associado.",artigo revisado por pares,https://doi.org/10.1002/ecs2.1697,Define ILTER como rede de redes e plataforma de colaboração e séries ecológicas de longa duração.,https://www.ilter.network/,2026-08-10
DR0050,ORNL Distributed Active Archive Center,ORNL DAAC,Centro de arquivo ativo distribuído e repositório de dados da NASA,"Centro NASA para dados de processos biogeoquímicos, ecologia terrestre e dinâmica ambiental.",https://www.earthdata.nasa.gov/centers/ornl-daac,https://search.earthdata.nasa.gov/search?fpj=ORNL_DAAC,Ciências Ambientais e Ecologia | Sensoriamento Remoto e Geoinformação | Infraestruturas e Ciência de Dados,ecologia | carbono | vegetação | solo | sensoriamento remoto,datasets | mapas | séries | produtos de missões,GeoTIFF | NetCDF | CSV | HDF | formatos variados,mapa interativo | geovisualização | gráficos | pré-visualização de dados,global,sim,varia conforme o dataset,varia conforme o dataset,varia conforme o dataset,satélites | campo | modelos | campanhas NASA,sim,consulta pública de metadados | Earthdata Login obrigatório para downloads e pedidos,sim,Earthdata CMR API | OGC | download HTTP e em nuvem,sim,https://www.earthdata.nasa.gov/engage/open-data-services-and-software/api,política de dados NASA; licença por dataset,público,NASA / Oak Ridge National Laboratory,"Localizar dados de biogeoquímica terrestre, carbono, ecologia, campanhas de campo e produtos de missões NASA.","Downloads exigem Earthdata Login; citar DOI, versão, qualidade e documentação do dataset específico; formatos e serviços variam por produto.",artigo revisado por pares,https://doi.org/10.3390/ijgi5030030,Descreve o workflow de curadoria e publicação de datasets no ORNL DAAC.,https://www.earthdata.nasa.gov/centers/ornl-daac,2026-08-10
DR0051,Project COSMOS,COSMOS,Base de dados de pesquisa sobre mudanças climáticas,"Base bibliométrica construída pelo Carbon Brief com mais de 1,8 milhão de publicações e cerca de 40 milhões de relações de citação ligadas à pesquisa climática.",https://interactive.carbonbrief.org/cosmos/index.html,https://interactive.carbonbrief.org/cosmos/index.html,Clima e Ciências Atmosféricas | Infraestruturas e Ciência de Dados,clima | carbono | mudanças climáticas,base bibliográfica | rede de citações | rankings | mapa interativo | metodologia,não se aplica,mapa interativo | rankings | gráficos | rede de citações,global,não se aplica,não se aplica,"publicações históricas até 31-12-2025, conforme a metodologia do projeto",não se aplica,referências dos relatórios do IPCC | 22 periódicos climáticos | OpenAlex | Google Scholar,não,consulta pública aos produtos | base integral restrita | colaboração mediante proposta,não,não se aplica,não se aplica,,conteúdo público sob licença Creative Commons com restrições; base integral não aberta,empresa de comunicação científica,Carbon Brief Ltd,"Explorar a estrutura da literatura climática, relações de citação, publicações, autores e instituições para bibliometria e ensino.","A base integral não é open source nem oferecida para download; produtos públicos incluem metodologia, rankings e mapa interativo; propostas de pesquisa dependem de colaboração com Carbon Brief; a base será atualizada e expandida ao fim de cada ano-calendário.",documentação técnica oficial,https://interactive.carbonbrief.org/cosmos/methodology/index.html,"A metodologia define COSMOS como base bibliométrica de pesquisa climática; por ser lançada em 2026, ainda não há validação externa consolidada.",https://interactive.carbonbrief.org/cosmos/methodology/index.html,2026-08-10
DR0052,Macrocaracterização dos Recursos Naturais do Brasil,Macrocaracterização,Coleção de estudos ambientais e mapeamentos integrados do IBGE,"Coleção do IBGE que apresenta visão espacialmente integrada do meio natural do Brasil, articulando geologia, geomorfologia, pedologia e vegetação em estudos, mapas, bases e estatísticas.",https://www.ibge.gov.br/geociencias/informacoes-ambientais/estudos-ambientais/24252-macrocaracterizacao-dos-recursos-naturais-do-brasil.html,https://www.ibge.gov.br/geociencias/informacoes-ambientais/estudos-ambientais/24252-macrocaracterizacao-dos-recursos-naturais-do-brasil.html?edicao=26063&t=acesso-ao-produto,"Ciências Ambientais e Ecologia | Geociências, Solos e Geografia Física | Sensoriamento Remoto e Geoinformação",recursos naturais | geologia | geomorfologia | pedologia | vegetação | suscetibilidade | agricultura,mapas | bases geoespaciais | estudos | publicações | estatísticas,Shapefile | TIF | PDF | formatos variados conforme edição,mapas | aplicações web | publicações,nacional — Brasil,sim,varia conforme a edição; inclui 1:1.000.000 e 1:250.000,coleção iniciada em 2019; edições posteriores conforme tema,não se aplica,bases ambientais do IBGE | literatura e fontes externas conforme estudo,sim,consulta e downloads públicos conforme edição e formato,não,HTTP download | aplicações web,não,https://www.ibge.gov.br/geociencias/informacoes-ambientais/estudos-ambientais/24252-macrocaracterizacao-dos-recursos-naturais-do-brasil.html,não localizada nesta rodada; observar termos de uso do IBGE e do produto,público,IBGE,"Apoiar sínteses e análises territoriais integradas de recursos naturais, solos, relevo, geologia, vegetação, suscetibilidade e potencialidade agrícola.","Escala, método, formato e finalidade variam entre edições; produtos de macroescala não devem ser usados como substitutos de levantamentos locais quando a documentação assim restringir.",documentação técnica oficial,https://www.ibge.gov.br/geociencias/informacoes-ambientais/estudos-ambientais/24252-macrocaracterizacao-dos-recursos-naturais-do-brasil.html,"A documentação oficial descreve a coleção, suas edições, produtos, aplicações web, mapas, bases e notas metodológicas.",https://www.ibge.gov.br/geociencias/informacoes-ambientais/estudos-ambientais/24252-macrocaracterizacao-dos-recursos-naturais-do-brasil.html,2026-08-14
DR0053,API de Pesquisas do IBGE,API de Pesquisas,Serviço de Dados do IBGE — API de Pesquisas,"API REST do IBGE para descoberta e consulta de pesquisas, períodos, indicadores, rankings e resultados por localidades.",https://servicodados.ibge.gov.br/api/docs/pesquisas,https://servicodados.ibge.gov.br/api/v1/pesquisas,Infraestruturas e Ciência de Dados | Planejamento Territorial e Políticas Públicas,IBGE | pesquisas | indicadores | localidades | estatísticas | API,pesquisas | indicadores | resultados | rankings | metadados,JSON,documentação web | resposta estruturada,nacional — Brasil; recortes variam conforme pesquisa e localidade,sim,"varia conforme pesquisa, indicador e localidade",varia conforme pesquisa e período disponível,varia conforme pesquisa,pesquisas do IBGE | subconjunto da API de Agregados | outras fontes do Serviço de Dados,sim,consulta pública por endpoints documentados,sim,REST API | HTTPS,não,https://servicodados.ibge.gov.br/api/docs/pesquisas,não localizada nesta rodada; observar termos de uso dos dados do IBGE,público,IBGE,Automatizar descoberta e extração de indicadores e resultados de pesquisas do IBGE por período e localidade.,Conteúdo e granularidade dependem da pesquisa; a documentação informa que o serviço combina subconjunto da API de Agregados com outras fontes continuamente enriquecidas e validadas.,documentação técnica oficial,https://servicodados.ibge.gov.br/api/docs/pesquisas,Documentação oficial da API de Pesquisas versão 1.0.0 e de seus endpoints.,https://servicodados.ibge.gov.br/api/docs/pesquisas,2026-08-14
DR0054,Catálogo de Metadados Geográficos do IBGE,Metadados Geo IBGE,Catálogo GeoNetwork de metadados geográficos do IBGE,Catálogo institucional para descoberta e compartilhamento de metadados e informações georreferenciadas do IBGE.,https://metadadosgeo.ibge.gov.br/geonetwork_ibge/srv/por/catalog.search#/home,https://metadadosgeo.ibge.gov.br/geonetwork_ibge/srv/por/catalog.search#/home,"Sensoriamento Remoto e Geoinformação | Infraestruturas e Ciência de Dados | Geociências, Solos e Geografia Física",metadados | geoinformação | georreferenciamento | catálogo | IBGE | GeoNetwork,metadados geográficos | registros de catálogo | links para recursos,metadados e páginas web; formatos de exportação não confirmados nesta rodada,busca de catálogo | páginas de metadados,Brasil e demais coberturas conforme registro,sim,varia conforme o recurso descrito,varia conforme o recurso descrito,varia conforme o recurso descrito,produtos e bases geográficas do IBGE,não se aplica,consulta pública ao catálogo,desconhecido,consulta web; serviços programáticos não confirmados nesta rodada,não,https://metadadosgeo.ibge.gov.br/geonetwork_ibge/srv/por/catalog.search#/home,varia conforme o recurso descrito; licença específica do catálogo não localizada nesta rodada,público,IBGE,"Descobrir metadados, proveniência, cobertura e referências de produtos geográficos do IBGE antes do uso analítico.","O catálogo descreve recursos heterogêneos; propriedades científicas, formato, licença e acesso devem ser verificados no registro e produto correspondentes.",documentação oficial,https://metadadosgeo.ibge.gov.br/geonetwork_ibge/srv/por/catalog.search#/home,A interface oficial identifica o serviço como catálogo GeoNetwork voltado ao compartilhamento e uso integrado de informação georreferenciada.,https://metadadosgeo.ibge.gov.br/geonetwork_ibge/srv/por/catalog.search#/home,2026-08-14
DR0055,Observatório de Inovação para Cidades Sustentáveis,OICS,Observatório de Inovação para Cidades Sustentáveis,"Plataforma do CGEE para apoiar inovação e tomada de decisão baseada em evidências em cidades, reunindo soluções, estudos de caso e tipologias territoriais de sustentabilidade urbana.",https://oics.cgee.org.br/,https://oics.cgee.org.br/solucoes-e-casos/solucoes,Ciências Ambientais e Ecologia | Planejamento Territorial e Políticas Públicas | Infraestruturas e Ciência de Dados,cidades sustentáveis | inovação | soluções baseadas na natureza | sustentabilidade urbana | estudos de caso | tipologias,soluções | estudos de caso | tipologias | indicadores | mapa interativo,conteúdo web | mapas e indicadores; exportações não confirmadas nesta rodada,busca facetada | mapa interativo | páginas de solução | páginas de estudo de caso,Brasil e casos internacionais; foco de aplicação em cidades brasileiras,sim,"municípios, cidades-regiões e localizações de casos; varia conforme conteúdo","varia conforme solução, caso e indicador",varia conforme conteúdo,indicadores e dados geográficos | literatura | documentação de soluções e estudos de caso,não,consulta pública pela plataforma,não,HTTP web,não,https://oics.cgee.org.br/mapa-interativo,não localizada nesta rodada,público-acadêmico,CGEE — Centro de Gestão e Estudos Estratégicos,"Descobrir e comparar soluções de sustentabilidade urbana, aplicações concretas, critérios de replicabilidade e tipologias territoriais para pesquisa, ensino e planejamento.","Soluções e estudos de caso são produtos de conhecimento aplicado, não datasets observacionais equivalentes; indicadores e escalas devem ser verificados no módulo correspondente.",documentação oficial,https://oics.cgee.org.br/,"A plataforma oficial distingue soluções replicáveis, estudos de caso como aplicações práticas e mapa interativo com tipologias baseadas em indicadores, dados geográficos e índices.",https://oics.cgee.org.br/,2026-08-14
DR0056,Cobertura e Uso da Terra — IBGE,CUT IBGE,Tema geocientífico de cobertura e uso da terra do IBGE,Conjunto institucional de produtos que classificam e analisam cobertura e uso da terra e sua dinâmica no território brasileiro.,https://www.ibge.gov.br/geociencias/informacoes-ambientais/cobertura-e-uso-da-terra.html,https://www.ibge.gov.br/geociencias/informacoes-ambientais/cobertura-e-uso-da-terra.html,"Ciências Ambientais e Ecologia | Agricultura, Florestas e Uso da Terra | Sensoriamento Remoto e Geoinformação",cobertura da terra | uso da terra | mudanças territoriais | vegetação | agricultura,mapas | bases vetoriais | tabelas | séries de monitoramento,Shapefile | XLS | ODS | PDF | formatos variados conforme produto,mapas | aplicações web | tabelas,nacional — Brasil,sim,varia conforme produto e edição,varia conforme produto; monitoramento inclui série histórica,periódica ou por edição,imagens de satélite | interpretação visual | dados geográficos do IBGE,sim,consulta e downloads públicos conforme produto,desconhecido,HTTP download | aplicações web,não,https://www.ibge.gov.br/geociencias/informacoes-ambientais/cobertura-e-uso-da-terra.html,não localizada em nível temático nesta rodada; observar termos do IBGE e do produto,público,IBGE,"Analisar dinâmica de uso e cobertura da terra, mudanças territoriais, vegetação, agricultura e contas ambientais.","Método, classes, escala e comparabilidade variam entre produtos e edições; não tratar produtos históricos e monitoramento como séries automaticamente equivalentes.",documentação técnica oficial,https://www.ibge.gov.br/geociencias/informacoes-ambientais/cobertura-e-uso-da-terra.html,"A página temática oficial distingue Monitoramento, Áreas Urbanizadas e Cobertura e Uso da Terra 1:250.000 como produtos próprios.",https://www.ibge.gov.br/geociencias/informacoes-ambientais/cobertura-e-uso-da-terra.html,2026-08-14
DR0057,Biomas — IBGE,Biomas IBGE,Biomas e Sistema Costeiro-Marinho do Brasil,Produto e documentação oficial do IBGE para delimitação dos seis biomas brasileiros e do Sistema Costeiro-Marinho.,https://www.ibge.gov.br/geociencias/informacoes-ambientais/vegetacao/15842-biomas.html,https://www.ibge.gov.br/geociencias/informacoes-ambientais/estudos-ambientais/15842-biomas.html?edicao=45164,Ciências Ambientais e Ecologia | Biodiversidade e Conservação | Sensoriamento Remoto e Geoinformação,biomas | sistema costeiro-marinho | vegetação | regionalização natural | Brasil,vetores | mapas | tabelas | notas metodológicas,Shapefile | XLSX | PDF,mapas | tabelas,nacional — Brasil e águas jurisdicionais brasileiras,sim,compatível com escala 1:250.000,edições 2004–2025; consultar edição,por revisão/edição,mapeamentos ambientais do IBGE | sensoriamento remoto | revisão técnica | levantamentos de campo,sim,downloads públicos pela página oficial,não,HTTP download,não,https://www.ibge.gov.br/geociencias/informacoes-ambientais/estudos-ambientais/15842-biomas.html?edicao=45164,não localizada em nível do produto nesta rodada; observar termos do IBGE,público,IBGE,"Usar limites oficiais de biomas e do Sistema Costeiro-Marinho em análises ecológicas, territoriais e de políticas públicas.","Limites são referenciais cartográficos e podem ser revisados; registrar edição e não misturar limites de 2004, 2019, 2024 e 2025 sem harmonização.",documentação técnica oficial,https://www.ibge.gov.br/geociencias/informacoes-ambientais/estudos-ambientais/15842-biomas.html?edicao=45164,A edição 2025 publica vetor e mapa compatíveis com escala 1:250.000 e notas metodológicas da primeira revisão dos limites dos biomas.,https://www.ibge.gov.br/geociencias/informacoes-ambientais/estudos-ambientais/15842-biomas.html?edicao=45164,2026-08-14
DR0058,Território e Meio Ambiente — Estatísticas por Macrorregiões Hidrográficas,TMA MacroRH,Estatísticas ambientais do IBGE por Macrorregiões Hidrográficas,"Base integrada de estatísticas físicas, bióticas, de uso da terra e população para as 12 Macrorregiões Hidrográficas do Brasil.",https://www.ibge.gov.br/estatisticas/multidominio/meio-ambiente/45353-territorio-e-meio-ambiente-estatisticas-por-macrorregioes-hidrograficas.html,https://www.ibge.gov.br/estatisticas/multidominio/meio-ambiente/45353-territorio-e-meio-ambiente-estatisticas-por-macrorregioes-hidrograficas.html,Ciências Ambientais e Ecologia | Recursos Hídricos e Oceanografia | Planejamento Territorial e Políticas Públicas,macrorregiões hidrográficas | estatísticas ambientais | geologia | solos | vegetação | uso da terra | população,base tabular | tabelas | publicação | cartogramas,XLS | ODS | PDF,tabelas | gráficos | cartogramas,12 Macrorregiões Hidrográficas do Brasil,sim,Macrorregião Hidrográfica e recortes das tabelas,edição publicada em 2025; referências variam por variável,varia conforme a fonte integrada,Geologia | Geomorfologia | Pedologia | Vegetação | Cobertura e Uso da Terra | Biomas | população — IBGE,sim,base e tabelas públicas em XLS/ODS,não,HTTP download,não,https://www.ibge.gov.br/estatisticas/multidominio/meio-ambiente/45353-territorio-e-meio-ambiente-estatisticas-por-macrorregioes-hidrograficas.html,não localizada nesta rodada; observar termos do IBGE e das fontes integradas,público,IBGE,"Caracterizar sistemas hidrográficos brasileiros integrando ambiente, uso da terra e população em análises territoriais e socioecológicas.",Variáveis integradas têm referências temporais e metodologias distintas; a base não deve ser interpretada como série temporal homogênea.,documentação técnica oficial,https://www.ibge.gov.br/estatisticas/multidominio/meio-ambiente/45353-territorio-e-meio-ambiente-estatisticas-por-macrorregioes-hidrograficas.html,A publicação de 2025 integra dados ambientais e populacionais nas 12 Macrorregiões Hidrográficas e disponibiliza base e tabelas completas.,https://www.ibge.gov.br/estatisticas/multidominio/meio-ambiente/45353-territorio-e-meio-ambiente-estatisticas-por-macrorregioes-hidrograficas.html,2026-08-14
DR0059,Projeções Climáticas no Brasil,PClima / PCBr,Portal de Projeções Climáticas no Brasil do INPE/MCTI,Plataforma oficial para visualizar e baixar projeções de mudanças climáticas sobre o Brasil produzidas a partir de modelos climáticos globais e regionais.,https://pclima.inpe.br/,https://pclima.inpe.br/analise/,Clima e Ciências Atmosféricas | Ciências Ambientais e Ecologia | Planejamento Territorial e Políticas Públicas,projeções climáticas | mudanças climáticas | CMIP5 | CMIP6 | Eta | BESM | Brasil,projeções climáticas | mapas | séries | API,formatos variáveis conforme consulta e exportação; API permite seleção de formato,mapa interativo | gráficos | download,Brasil,sim,varia conforme modelo e experimento,simulações históricas e projeções para o século XXI; varia conforme conjunto,"varia conforme modelo, variável e frequência selecionada",CMIP5 | CMIP6 | HELIX | BESM | Eta/CPTEC/INPE,sim,visualização e download públicos; API possui fluxo de token/cadastro,sim,HTTP download | API,parcial,https://pclima.inpe.br/?page_id=183,não localizada nesta rodada; citação institucional requerida pela documentação,público,INPE / MCTI,"Analisar cenários e projeções climáticas para estudos de impactos, vulnerabilidade, adaptação e planejamento territorial.","Projeções não são previsões meteorológicas; resultados dependem do modelo, experimento, cenário, resolução e período selecionados e devem preservar essas dimensões e a incerteza entre modelos.",documentação técnica oficial,https://pclima.inpe.br/?page_id=15,"A documentação oficial descreve o portal, os conjuntos CMIP5/CMIP6, HELIX, BESM e Eta/CPTEC/INPE e sua finalidade para estudos de impactos, vulnerabilidade e adaptação.",https://pclima.inpe.br/?page_id=15,2026-08-14
DR0060,Biodiversidade — IBGE,Biodiversidade IBGE,Tema de informações geocientíficas sobre biodiversidade do IBGE,"Conjunto institucional de produtos geocientíficos do IBGE sobre biodiversidade, incluindo avaliação da cobertura e permanência dos dados de ocorrência de espécies disponíveis no Brasil.",https://www.ibge.gov.br/geociencias/informacoes-ambientais/biodiversidade.html,https://www.ibge.gov.br/geociencias/informacoes-ambientais/biodiversidade/38371-avaliacao-dos-dados-sobre-a-biodiversidade-brasileira.html,Biodiversidade e Conservação | Sensoriamento Remoto e Geoinformação | Infraestruturas e Ciência de Dados,biodiversidade | ocorrência de espécies | cobertura de dados | SiBBr | grade estatística | municípios,indicadores | vetores | publicação | mapas,formatos vetoriais e PDF; variam conforme edição,mapas | publicação | downloads,Brasil,sim,grade estatística de 50 km e municípios no produto 2025,edições 2022 e 2025 verificadas,por edição,SiBBr | bases cartográficas e estatísticas do IBGE,sim,downloads públicos na página do produto,não,HTTP download,não,https://www.ibge.gov.br/geociencias/informacoes-ambientais/biodiversidade/38371-avaliacao-dos-dados-sobre-a-biodiversidade-brasileira.html,observar termos de uso dos dados do IBGE e metadados do arquivo,público,IBGE,"Avaliar lacunas, cobertura espacial e permanência de acesso a dados de ocorrência de espécies para pesquisa e governança da informação ambiental.","Indicadores medem características da disponibilidade dos dados de ocorrência e não representam diretamente riqueza, abundância ou estado de conservação das espécies.",documentação técnica oficial,https://www.ibge.gov.br/geociencias/informacoes-ambientais/biodiversidade/38371-avaliacao-dos-dados-sobre-a-biodiversidade-brasileira.html,A edição 2025 analisa dados nacionais de nove grupos taxonômicos disponíveis no SiBBr e disponibiliza indicadores em grade estatística de 50 km e municípios.,https://www.ibge.gov.br/geociencias/informacoes-ambientais/biodiversidade/38371-avaliacao-dos-dados-sobre-a-biodiversidade-brasileira.html,2026-08-14
DR0061,Pesquisa Especial sobre as Enchentes de 2024 no Rio Grande do Sul,PEERS,Pesquisa especial domiciliar experimental do IBGE sobre impactos das enchentes de 2024 no Rio Grande do Sul,"Operação estatística experimental do IBGE que mensura impactos, danos, suporte recebido, condições socioeconômicas e percepção de qualidade de vida da população atingida pelas enchentes de abril e maio de 2024 no Rio Grande do Sul.",https://www.ibge.gov.br/peers/,https://www.ibge.gov.br/estatisticas/multidominio/meio-ambiente/47278-pesquisa-especial-sobre-as-enchentes-de-2024-no-rio-grande-do-sul.html,Ciências Ambientais e Ecologia | Planejamento Territorial e Políticas Públicas,enchentes | desastres | impactos socioambientais | qualidade de vida | domicílios | Rio Grande do Sul | IBGE,tabelas | publicação | indicadores | metadados estatísticos,XLSX | ODS | PDF,tabelas | publicação,133 municípios afetados no Rio Grande do Sul; resultados para área total e Regiões Intermediárias,sim,domicílio e pessoa na investigação; divulgação agregada para área total e Regiões Intermediárias,evento de 01/04/2024 a 31/05/2024; coleta de 15/09/2025 a 27/02/2026,pesquisa especial; referências ao evento e ao período de coleta,entrevistas telefônicas assistidas por computador | cadastro do Censo Demográfico 2022,sim,tabelas e publicação públicas na página oficial,não,HTTP download,não,https://www.ibge.gov.br/estatisticas/multidominio/meio-ambiente/47278-pesquisa-especial-sobre-as-enchentes-de-2024-no-rio-grande-do-sul.html,não localizada especificamente nesta rodada; observar termos de uso do IBGE,público,IBGE,"Analisar impactos sociais e ambientais de desastre climático, vulnerabilidade, recuperação, prevenção e políticas públicas.","Estatística experimental baseada em amostra domiciliar com telefone registrado; resultados são estimativas e devem preservar coeficientes de variação, desenho amostral e recortes de divulgação.",documentação técnica oficial,https://www.ibge.gov.br/estatisticas/multidominio/meio-ambiente/47278-pesquisa-especial-sobre-as-enchentes-de-2024-no-rio-grande-do-sul.html,"A documentação oficial descreve objetivo, unidades de investigação e análise, períodos de referência, instrumentos de coleta, tabelas e caráter experimental.",https://www.ibge.gov.br/peers/,2026-08-14
